u_symptom,incident_count,prolonged_incidents,prolonged_rate_pct,smoothed_prolonged_rate_pct,risk_lift_pct_points,avg_complexity_score,avg_reassignments,avg_reopens
Symptom 32,1,0,0.00,9.29,-0.19,8.00,2.00,0.00
Symptom 560,2,1,50.00,11.04,1.56,17.00,2.00,0.00
Symptom 304,1,1,100.00,11.25,1.77,43.00,2.00,0.00
Symptom 3,3,2,66.67,12.72,3.24,22.00,2.00,0.00
Symptom 510,3,0,0.00,8.94,-0.54,12.33,1.33,0.00
Symptom 107,3,2,66.67,12.72,3.24,14.00,0.67,0.00
Symptom 67,2,0,0.00,9.11,-0.36,10.00,2.50,0.00
Symptom 496,1,0,0.00,9.29,-0.19,12.00,1.00,0.00
Symptom 236,11,6,54.55,17.61,8.13,16.64,0.82,0.00
Symptom 348,1,0,0.00,9.29,-0.19,15.00,2.00,0.00
Symptom 136,1,0,0.00,9.29,-0.19,19.00,0.00,0.00
Symptom 35,6,1,16.67,10.25,0.77,17.17,4.17,0.00
Symptom 182,3,0,0.00,8.94,-0.54,15.00,1.67,0.00
Symptom 405,1,0,0.00,9.29,-0.19,28.00,0.00,0.00
Symptom 601,5,0,0.00,8.62,-0.86,9.40,0.60,0.00
Symptom 97,2,1,50.00,11.04,1.56,35.50,11.00,0.00
Symptom 54,116,1,0.86,3.46,-6.02,8.09,1.27,0.02
Symptom 22,7,1,14.29,10.07,0.59,14.71,1.57,0.00
Symptom 353,1,0,0.00,9.29,-0.19,13.00,1.00,0.00
Symptom 13,22,0,0.00,6.58,-2.90,12.23,2.23,0.00
Symptom 523,2,0,0.00,9.11,-0.36,20.00,4.50,0.00
Symptom 520,2,0,0.00,9.11,-0.36,6.00,0.00,0.00
Symptom 439,3,0,0.00,8.94,-0.54,23.00,3.67,0.00
Symptom 247,7,1,14.29,10.07,0.59,6.71,0.43,0.00
Symptom 109,1,1,100.00,11.25,1.77,37.00,2.00,0.00
Symptom 420,30,0,0.00,5.92,-3.55,7.53,0.83,0.00
Symptom 308,1,0,0.00,9.29,-0.19,2.00,0.00,0.00
Symptom 511,2,1,50.00,11.04,1.56,10.50,1.50,0.00
Symptom 567,1,0,0.00,9.29,-0.19,13.00,1.00,0.00
Symptom 436,1,0,0.00,9.29,-0.19,8.00,0.00,0.00
Symptom 590,1,1,100.00,11.25,1.77,22.00,0.00,0.00
Symptom 541,2,2,100.00,12.96,3.48,18.50,0.00,0.00
Symptom 328,1,1,100.00,11.25,1.77,36.00,1.00,0.00
Symptom 424,6,2,33.33,12.04,2.56,15.67,0.00,0.00
Symptom 455,31,6,19.35,13.26,3.78,16.55,2.74,0.03
Symptom 60,1,1,100.00,11.25,1.77,109.00,3.00,0.00
Symptom 458,91,10,10.99,10.45,0.97,12.54,1.62,0.08
Symptom 360,1,0,0.00,9.29,-0.19,17.00,1.00,0.00
Symptom 515,1,0,0.00,9.29,-0.19,5.00,0.00,0.00
Symptom 171,1,1,100.00,11.25,1.77,16.00,1.00,0.00
Symptom 193,1,0,0.00,9.29,-0.19,5.00,0.00,0.00
Symptom 133,1,1,100.00,11.25,1.77,37.00,7.00,0.00
Symptom 230,7,1,14.29,10.07,0.59,7.57,0.14,0.00
Symptom 449,5,0,0.00,8.62,-0.86,13.80,2.20,0.00
Symptom 175,1,0,0.00,9.29,-0.19,8.00,1.00,0.00
Symptom 59,1,1,100.00,11.25,1.77,42.00,4.00,0.00
Symptom 317,1,0,0.00,9.29,-0.19,12.00,3.00,0.00
Symptom 274,17,6,35.29,16.03,6.55,12.12,0.41,0.00
Symptom 211,19,11,57.89,22.81,13.33,18.68,0.05,0.00
Symptom 173,2,1,50.00,11.04,1.56,19.50,2.00,0.00
Symptom 465,35,28,80.00,38.52,29.04,48.43,1.94,0.11
Symptom 174,1,0,0.00,9.29,-0.19,9.00,0.00,0.00
Symptom 397,2,1,50.00,11.04,1.56,15.50,0.00,0.00
Symptom 559,3,1,33.33,10.83,1.35,14.67,2.33,0.00
Symptom 519,4,3,75.00,14.33,4.85,23.50,4.25,0.00
Symptom 428,1,0,0.00,9.29,-0.19,10.00,1.00,0.00
Symptom 240,3,3,100.00,14.60,5.12,28.33,2.33,0.00
Symptom 586,1,0,0.00,9.29,-0.19,5.00,0.00,0.00
Symptom 571,224,23,10.27,10.12,0.64,10.44,0.99,0.00
Symptom 30,1,0,0.00,9.29,-0.19,12.00,1.00,0.00
Symptom 276,2,0,0.00,9.11,-0.36,14.50,2.50,0.00
Symptom 324,1,1,100.00,11.25,1.77,18.00,0.00,0.00
Symptom 219,1,1,100.00,11.25,1.77,13.00,1.00,0.00
Symptom 44,8,0,0.00,8.17,-1.31,13.13,1.75,0.00
Symptom 27,1,0,0.00,9.29,-0.19,4.00,0.00,0.00
Symptom 545,1,1,100.00,11.25,1.77,17.00,1.00,0.00
Symptom 287,7,2,28.57,11.82,2.34,14.57,0.29,0.00
Symptom 594,20,0,0.00,6.77,-2.71,5.85,0.20,0.00
Symptom 498,1,0,0.00,9.29,-0.19,4.00,0.00,0.00
Symptom 229,1,0,0.00,9.29,-0.19,10.00,1.00,0.00
Symptom 503,1,0,0.00,9.29,-0.19,14.00,4.00,0.00
Symptom 338,4,0,0.00,8.78,-0.70,11.50,1.75,0.00
Symptom 117,74,11,14.86,12.69,3.21,11.61,0.55,0.03
Symptom 130,14,0,0.00,7.41,-2.07,5.93,0.07,0.00
Symptom 198,1,0,0.00,9.29,-0.19,33.00,5.00,0.00
Symptom 479,1,0,0.00,9.29,-0.19,23.00,5.00,0.00
Symptom 151,1,0,0.00,9.29,-0.19,7.00,0.00,0.00
Symptom 438,19,2,10.53,9.77,0.29,10.05,1.16,0.00
Symptom 459,2,2,100.00,12.96,3.48,22.00,0.00,0.00
Symptom 388,1,0,0.00,9.29,-0.19,7.00,2.00,0.00
Symptom 517,82,0,0.00,3.59,-5.89,6.80,0.48,0.02
Symptom 218,20,5,25.00,13.91,4.43,15.30,0.85,0.05
Symptom 463,25,9,36.00,18.32,8.84,14.92,1.12,0.04
Symptom 409,13,3,23.08,12.29,2.81,14.54,2.38,0.00
Symptom 524,1,0,0.00,9.29,-0.19,9.00,1.00,0.00
Symptom 47,2,0,0.00,9.11,-0.36,14.00,3.00,0.00
Symptom 226,1,0,0.00,9.29,-0.19,14.00,3.00,0.00
Symptom 181,5,2,40.00,12.25,2.77,24.80,3.60,0.00
Symptom 370,4,0,0.00,8.78,-0.70,15.00,1.75,0.00
Symptom 84,2,0,0.00,9.11,-0.36,10.00,1.00,0.00
Symptom 207,1,0,0.00,9.29,-0.19,14.00,1.00,0.00
Symptom 170,8,3,37.50,13.34,3.86,15.38,0.63,0.00
Symptom 504,1,0,0.00,9.29,-0.19,18.00,3.00,0.00
Symptom 259,19,4,21.05,12.67,3.19,12.32,0.79,0.00
Symptom 216,15,6,40.00,16.52,7.04,14.73,1.20,0.00
Symptom 242,6,2,33.33,12.04,2.56,20.33,0.67,0.00
Symptom 278,1,0,0.00,9.29,-0.19,16.00,2.00,0.00
Symptom 456,4,0,0.00,8.78,-0.70,4.75,0.50,0.00
Symptom 499,3,1,33.33,10.83,1.35,15.33,0.00,0.00
Symptom 530,5,1,20.00,10.44,0.96,11.40,1.00,0.00
Symptom 526,1,1,100.00,11.25,1.77,14.00,0.00,0.00
Symptom 366,2,0,0.00,9.11,-0.36,7.50,0.50,0.00
Symptom 312,3,3,100.00,14.60,5.12,24.33,0.00,0.00
Symptom 294,5,1,20.00,10.44,0.96,11.40,0.40,0.00
Symptom 323,1,0,0.00,9.29,-0.19,6.00,0.00,0.00
Symptom 607,51,5,9.80,9.64,0.16,13.31,1.27,0.00
Symptom 239,8,1,12.50,9.90,0.42,11.25,0.25,0.00
Symptom 514,11,0,0.00,7.77,-1.71,10.18,0.73,0.00
Symptom 509,15,2,13.33,10.37,0.89,12.73,1.33,0.00
Symptom 293,5,1,20.00,10.44,0.96,10.00,1.00,0.00
Symptom 55,4,1,25.00,10.63,1.15,10.00,1.75,0.00
Symptom 501,2,0,0.00,9.11,-0.36,4.00,0.00,0.00
Symptom 152,3,0,0.00,8.94,-0.54,19.33,1.33,0.00
Symptom 521,7,2,28.57,11.82,2.34,11.86,1.71,0.00
Symptom 550,2,2,100.00,12.96,3.48,13.50,0.00,0.00
Symptom 371,21,0,0.00,6.68,-2.80,9.00,1.14,0.05
Symptom 25,2,0,0.00,9.11,-0.36,4.50,0.50,0.00
Symptom 556,2,0,0.00,9.11,-0.36,6.50,0.00,0.00
Symptom 2,2,0,0.00,9.11,-0.36,11.50,2.00,0.00
Symptom 531,7,2,28.57,11.82,2.34,15.29,0.43,0.14
Symptom 279,3,0,0.00,8.94,-0.54,14.67,2.33,0.00
Symptom 579,1,1,100.00,11.25,1.77,71.00,0.00,0.00
Symptom 159,1,0,0.00,9.29,-0.19,7.00,1.00,0.00
Symptom 546,2,1,50.00,11.04,1.56,13.50,0.00,0.00
Symptom 144,4,3,75.00,14.33,4.85,23.75,2.25,0.00
Symptom 315,19,1,5.26,8.32,-1.16,14.79,2.32,0.16
Symptom 156,3,0,0.00,8.94,-0.54,8.67,1.00,0.00
Symptom 372,13,3,23.08,12.29,2.81,9.38,0.38,0.00
Symptom 593,3,0,0.00,8.94,-0.54,8.67,0.67,0.00
Symptom 606,5,0,0.00,8.62,-0.86,12.20,1.40,0.00
Symptom 270,2,1,50.00,11.04,1.56,16.00,0.00,0.00
Symptom 600,1,0,0.00,9.29,-0.19,6.00,0.00,0.00
Symptom 234,1,0,0.00,9.29,-0.19,8.00,0.00,0.00
Symptom 70,78,6,7.69,8.39,-1.09,9.40,0.32,0.01
Symptom 568,3,1,33.33,10.83,1.35,15.67,0.67,0.00
Symptom 160,1,0,0.00,9.29,-0.19,16.00,3.00,0.00
Symptom 551,1,0,0.00,9.29,-0.19,20.00,1.00,0.00
Symptom 470,170,11,6.47,7.15,-2.32,9.68,0.86,0.00
Symptom 113,13,1,7.69,9.11,-0.37,10.23,0.31,0.00
Symptom 194,1,1,100.00,11.25,1.77,25.00,3.00,0.00
Symptom 385,2,0,0.00,9.11,-0.36,10.50,1.50,0.00
Symptom 184,1,0,0.00,9.29,-0.19,8.00,1.00,0.00
Symptom 444,25,0,0.00,6.32,-3.16,10.88,1.56,0.00
Symptom 335,1,0,0.00,9.29,-0.19,11.00,1.00,0.00
Symptom 492,1,0,0.00,9.29,-0.19,9.00,0.00,0.00
Symptom 266,3,1,33.33,10.83,1.35,15.67,0.33,0.00
Symptom 148,2,0,0.00,9.11,-0.36,8.00,0.50,0.00
Symptom 596,25,2,8.00,8.99,-0.49,12.36,1.92,0.04
Symptom 297,2,1,50.00,11.04,1.56,15.50,1.50,0.00
Symptom 99,3,1,33.33,10.83,1.35,20.00,1.00,0.00
Symptom 441,1,0,0.00,9.29,-0.19,17.00,4.00,0.00
Symptom 468,41,20,48.78,27.19,17.71,22.95,1.32,0.00
Symptom 251,1,0,0.00,9.29,-0.19,5.00,0.00,0.00
Symptom 212,2,1,50.00,11.04,1.56,18.50,1.00,0.00
Symptom 450,2,0,0.00,9.11,-0.36,7.00,0.50,0.00
Symptom 257,14,2,14.29,10.53,1.05,9.57,0.64,0.00
Symptom 462,29,10,34.48,18.66,9.18,21.41,2.45,0.03
Symptom 337,2,2,100.00,12.96,3.48,72.50,1.00,0.00
Symptom 199,1,1,100.00,11.25,1.77,82.00,2.00,0.00
